20161026	团委	男	1230	13	16	18
20161123	跑操	男	1345	24	34	16
20161115	勒索	女	1600	34	52	11
20161227	军训	女	1098	35	20	21
20170615	好书	男	1096	12	14	22
20170616	回忆	女	1540	31	37	13
20170617	童年	女	2006	21	66	6
20170913	端午	男	1011	31	40	23
20170617	紧急	男	1280	64	24	17
20170611	故事	女	1065	55	54	20
20170815	设计	男	1100	35	50	19
20170416	节能	男	1500	53	36	14
20170110	招新	女	2835	55	26	1
20170115	学业	女	1920	18	19	8
20170128	咨询	男	1420	36	20	15
20170213	上机	女	2353	24	16	4
20170226	招聘	女	2750	34	23	3
20170318	街坊	男	2017	12	34	7
20170324	毕业	女	1720	23	34	10
20170512	建模	女	1850	75	19	9
20170530	电影	女	2730	45	36	2
20170613	假期	男	1600	45	24	12
20170709	邮卡	男	2321	17	27	5
